Sentence1,Sentence2,Difference Context 1,Difference Context 2
"Xenophobic violence in Johannesburg spreads to Cape Town, resulting in over 40 deaths
One Somali national killed and 12 injured amidst the clashes; 15 arrests made
Mozambique declares state of emergency as around 10,000 flee South Africa
South African President deploys army to aid police; over 28,000 displaced and 400 arrested","Xenophobic violence indium Johannesburg spreads to Cape Town, resulting inwards over 40 deaths One Somali national killed and 12 injured amidst the clashes ; 15 arrests made Mozambique declares state of emergency as around 10,000 flee South Africa South African President deploys army to aid police ; over 28,000 displaced and 400 arrested",Xenophobic violence in Johannesburg spreads,Xenophobic violence indium Johannesburg spreads
"Xenophobic violence in Johannesburg spreads to Cape Town, resulting in over 40 deaths
One Somali national killed and 12 injured amidst the clashes; 15 arrests made
Mozambique declares state of emergency as around 10,000 flee South Africa
South African President deploys army to aid police; over 28,000 displaced and 400 arrested","Xenophobic violence indium Johannesburg spreads to Cape Town, resulting inwards over 40 deaths One Somali national killed and 12 injured amidst the clashes ; 15 arrests made Mozambique declares state of emergency as around 10,000 flee South Africa South African President deploys army to aid police ; over 28,000 displaced and 400 arrested","Town, resulting in over 40","Town, resulting inwards over 40"
"Xenophobic violence in Johannesburg spreads to Cape Town, resulting in over 40 deaths
One Somali national killed and 12 injured amidst the clashes; 15 arrests made
Mozambique declares state of emergency as around 10,000 flee South Africa
South African President deploys army to aid police; over 28,000 displaced and 400 arrested","Xenophobic violence indium Johannesburg spreads to Cape Town, resulting inwards over 40 deaths One Somali national killed and 12 injured amidst the clashes ; 15 arrests made Mozambique declares state of emergency as around 10,000 flee South Africa South African President deploys army to aid police ; over 28,000 displaced and 400 arrested",amidst the clashes; 15 arrests,amidst the clashes ; 15 arrests
"Xenophobic violence in Johannesburg spreads to Cape Town, resulting in over 40 deaths
One Somali national killed and 12 injured amidst the clashes; 15 arrests made
Mozambique declares state of emergency as around 10,000 flee South Africa
South African President deploys army to aid police; over 28,000 displaced and 400 arrested","Xenophobic violence indium Johannesburg spreads to Cape Town, resulting inwards over 40 deaths One Somali national killed and 12 injured amidst the clashes ; 15 arrests made Mozambique declares state of emergency as around 10,000 flee South Africa South African President deploys army to aid police ; over 28,000 displaced and 400 arrested","to aid police; over 28,000","to aid police ; over 28,000"
"Former Illinois Gov. George Ryan's appeal rejected by Supreme Court, will remain in prison
Ryan and co-defendant Larry Warner convicted of federal racketeering and fraud in 2006
Supreme Court decision upholds previous federal appeals court ruling on jury removal issue
Ryan served as governor from 1999 to 2003, known for halting capital punishment in Illinois","Former Illinois Gov . George Ryan 's appealingness rejected by Supreme Court, will remain in prison Ryan and co-defendant Larry Warner convicted of federal racketeering and fraud in 2006 Supreme Court decision upholds previous federal ingathering court ruling on jury removal issue Ryan served as governor from 1999 to 2003, known for halting capital punishment in Illinois",Former Illinois Gov. George Ryan's,Former Illinois Gov . George Ryan
"Former Illinois Gov. George Ryan's appeal rejected by Supreme Court, will remain in prison
Ryan and co-defendant Larry Warner convicted of federal racketeering and fraud in 2006
Supreme Court decision upholds previous federal appeals court ruling on jury removal issue
Ryan served as governor from 1999 to 2003, known for halting capital punishment in Illinois","Former Illinois Gov . George Ryan 's appealingness rejected by Supreme Court, will remain in prison Ryan and co-defendant Larry Warner convicted of federal racketeering and fraud in 2006 Supreme Court decision upholds previous federal ingathering court ruling on jury removal issue Ryan served as governor from 1999 to 2003, known for halting capital punishment in Illinois",Gov. George Ryan's appeal rejected by,. George Ryan 's appealingness rejected by
"Former Illinois Gov. George Ryan's appeal rejected by Supreme Court, will remain in prison
Ryan and co-defendant Larry Warner convicted of federal racketeering and fraud in 2006
Supreme Court decision upholds previous federal appeals court ruling on jury removal issue
Ryan served as governor from 1999 to 2003, known for halting capital punishment in Illinois","Former Illinois Gov . George Ryan 's appealingness rejected by Supreme Court, will remain in prison Ryan and co-defendant Larry Warner convicted of federal racketeering and fraud in 2006 Supreme Court decision upholds previous federal ingathering court ruling on jury removal issue Ryan served as governor from 1999 to 2003, known for halting capital punishment in Illinois",previous federal appeals court ruling,previous federal ingathering court ruling
"MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria
The Nigerian military disputes the death toll, labeling it propaganda
Attacks on oil pipelines by MEND have cut Nigeria's oil production by 10%, affecting global oil prices
MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings","MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria The Nigerian military disputes the death price, labeling it propaganda aggress on oil pipelines by MEND have cut Nigeria 's oil production by 10 %, affecting global oil prices MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings","the death toll, labeling it","the death price, labeling it"
"MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria
The Nigerian military disputes the death toll, labeling it propaganda
Attacks on oil pipelines by MEND have cut Nigeria's oil production by 10%, affecting global oil prices
MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings","MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria The Nigerian military disputes the death price, labeling it propaganda aggress on oil pipelines by MEND have cut Nigeria 's oil production by 10 %, affecting global oil prices MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings",it propaganda Attacks on oil,it propaganda aggress on oil
"MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria
The Nigerian military disputes the death toll, labeling it propaganda
Attacks on oil pipelines by MEND have cut Nigeria's oil production by 10%, affecting global oil prices
MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings","MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria The Nigerian military disputes the death price, labeling it propaganda aggress on oil pipelines by MEND have cut Nigeria 's oil production by 10 %, affecting global oil prices MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings",have cut Nigeria's oil production,have cut Nigeria 's oil production
"MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria
The Nigerian military disputes the death toll, labeling it propaganda
Attacks on oil pipelines by MEND have cut Nigeria's oil production by 10%, affecting global oil prices
MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings","MEND rebels claim responsibility for a pipeline attack and the killing of 11 soldiers in Nigeria The Nigerian military disputes the death price, labeling it propaganda aggress on oil pipelines by MEND have cut Nigeria 's oil production by 10 %, affecting global oil prices MEND seeks a larger share of oil wealth for impoverished Niger Delta communities, often through violence and kidnappings","production by 10%, affecting global","production by 10 %, affecting global"
"Soaring gas prices make summer travel expensive; authors suggest books as an escape
Top-selling authors share their favorite reads for quick escapes, long weekends, and all summer
Selections include classics, thrillers, and heartwarming tales across various genres
Authors recommend books for different summer moods, from one-day reads to books to savor all season","Soaring gas prices make summer travel expensive ; authors suggest books as an escape Top-selling authors share their favorite reads for quick escapes, hanker weekends, and entirely summer Selections include classics, thrillers, and heartwarming tales across various genres Authors recommend books for different summer moods, from one-day reads to books to savor all season",summer travel expensive; authors suggest,summer travel expensive ; authors suggest
"Soaring gas prices make summer travel expensive; authors suggest books as an escape
Top-selling authors share their favorite reads for quick escapes, long weekends, and all summer
Selections include classics, thrillers, and heartwarming tales across various genres
Authors recommend books for different summer moods, from one-day reads to books to savor all season","Soaring gas prices make summer travel expensive ; authors suggest books as an escape Top-selling authors share their favorite reads for quick escapes, hanker weekends, and entirely summer Selections include classics, thrillers, and heartwarming tales across various genres Authors recommend books for different summer moods, from one-day reads to books to savor all season","quick escapes, long weekends, and","quick escapes, hanker weekends, and"
"Soaring gas prices make summer travel expensive; authors suggest books as an escape
Top-selling authors share their favorite reads for quick escapes, long weekends, and all summer
Selections include classics, thrillers, and heartwarming tales across various genres
Authors recommend books for different summer moods, from one-day reads to books to savor all season","Soaring gas prices make summer travel expensive ; authors suggest books as an escape Top-selling authors share their favorite reads for quick escapes, hanker weekends, and entirely summer Selections include classics, thrillers, and heartwarming tales across various genres Authors recommend books for different summer moods, from one-day reads to books to savor all season","weekends, and all summer Selections","weekends, and entirely summer Selections"
"Robert Reich, former Clinton Labor Secretary, endorses Barack Obama for President
Former Senators Sam Nunn and David Boren also endorse Obama, joining his national security policy team
The endorsements come ahead of the Pennsylvania primary, with 158 delegates at stake
Hillary Clinton and John McCain criticize Obama's responses to debate pressure and economic comments","Robert Reich, former Hilary Clinton Labor writing table, endorses Barack Obama for President Former Senators Sam Nunn and David Boren also endorse Obama, joining his national security policy team The endorsements come ahead of the Pennsylvania primary, with 158 delegates at stake Hillary Clinton and John McCain criticize Obama 's responses to debate pressure and economic comments","Reich, former Clinton Labor","Reich, former Hilary Clinton Labor"
"Robert Reich, former Clinton Labor Secretary, endorses Barack Obama for President
Former Senators Sam Nunn and David Boren also endorse Obama, joining his national security policy team
The endorsements come ahead of the Pennsylvania primary, with 158 delegates at stake
Hillary Clinton and John McCain criticize Obama's responses to debate pressure and economic comments","Robert Reich, former Hilary Clinton Labor writing table, endorses Barack Obama for President Former Senators Sam Nunn and David Boren also endorse Obama, joining his national security policy team The endorsements come ahead of the Pennsylvania primary, with 158 delegates at stake Hillary Clinton and John McCain criticize Obama 's responses to debate pressure and economic comments","Clinton Labor Secretary, endorses Barack","Clinton Labor writing table, endorses Barack"
